jid,formula,spg_number,formation_energy_peratom,optb88vdw_bandgap,ehull,slme
JVASP-66536,Ba2PdBr,225,-1.06579,0.0,0.1498,27.92
JVASP-3882,Tl2TeCl6,225,-0.8507,2.411,0.0,5.26
JVASP-22724,NaLi2Bi,225,-0.5458700000000001,0.504,0.0,31.11
JVASP-3885,Tl2PtCl6,225,-0.8307300000000001,1.631,0.0,20.45
JVASP-3888,K2TiCl6,225,-1.88789,1.953,0.0,12.88
JVASP-22674,K2NiF6,225,-2.36484,1.535,0.0,32.47
JVASP-1294,BaSe,225,-2.16602,1.915,0.0259,6.39
JVASP-1420,Na2Te,225,-1.00223,2.137,0.0,0.29
JVASP-61646,K3AlF6,225,-3.35975,6.792,0.0,0.0
JVASP-65769,Ba2SbBr,225,-1.56827,0.979,0.0036,33.93
JVASP-69353,Ba2MgSb,225,-0.58728,0.0,0.1695,5.84
JVASP-1297,Na2Se,225,-1.15601,2.173,0.0,0.06
JVASP-1882,ErN,225,-2.01006,0.238,0.0,33.66
JVASP-22599,HfVF6,225,-3.25255,0.0,0.2005,21.19
JVASP-90798,PbS,225,-0.63993,0.8140000000000001,0.016,32.54
JVASP-3678,Rb2PbCl6,225,-1.37744,0.902,0.0,22.52
JVASP-1276,SrS,225,-2.36365,2.54,0.0,0.72
JVASP-3684,K2PtCl6,225,-1.28971,1.646,0.0,19.33
JVASP-1387,Na2O,225,-1.41079,2.214,0.0195,0.0
JVASP-2002,LiH,225,-0.5039600000000001,3.558,0.028,2.24
JVASP-3591,K2SeBr6,225,-0.95156,1.528,0.0,19.49
JVASP-85352,NaMoF6,225,-2.72226,0.0,0.0145,0.01
JVASP-20064,LaSb,225,-1.3273700000000002,0.0,0.0,5.84
JVASP-1333,CaS,225,-2.38214,2.347,0.0,2.32
JVASP-87166,Sr2CaWO6,225,-3.0362,2.786,0.0142,0.11
JVASP-18405,YH2,225,-0.7768700000000001,0.0,0.0,8.38
JVASP-22679,Rb2H6Pt,225,-0.40408,3.889,0.0,0.0
JVASP-1309,CaSe,225,-2.17597,2.137,0.0,6.09
JVASP-22726,Na2TlSb,225,-0.37477,0.479,0.0,31.64
JVASP-22727,TiFe2Si,225,-0.67762,0.286,0.0,5.84
JVASP-1339,K2Te,225,-1.10795,2.187,0.0,0.04
JVASP-3789,CaTiF6,225,-3.76364,4.613,0.0122,0.0
JVASP-87037,CaSnF6,225,-3.15212,5.515,0.0186,0.0
JVASP-18406,SmH2,225,-0.70459,0.0,0.0,17.29
JVASP-3606,Rb2SnCl6,225,-1.5629,2.22,0.0,0.45
JVASP-20092,CdO,225,-1.17119,0.0,0.0,33.51
JVASP-3612,K2PdCl6,225,-1.24048,1.107,0.0,27.36
JVASP-87169,Ba2MgWO6,225,-3.03643,2.822,0.0,0.6000000000000001
JVASP-105612,K2RbScF6,225,-3.39878,6.186,0.0853,0.0
JVASP-90810,TePb,225,-0.41685,1.013,0.0128,33.51
JVASP-105684,Rb2NaSbI6,225,-0.99681,2.033,0.0521,13.17
JVASP-1342,UN2,225,-1.57409,0.864,0.0,31.71
JVASP-105614,K3YCl6,225,-2.15178,4.705,0.0468,0.0
JVASP-1345,YbTe,225,-1.75446,1.486,0.0,11.79
JVASP-105685,Rb3DyCl6,225,-2.16567,4.748,0.0366,0.0
JVASP-1315,BaS,225,-2.275,2.148,0.0,2.41
JVASP-1351,YbS,225,-2.45728,2.207,0.0,1.46
JVASP-22729,Sr2SbAu,225,-1.05124,0.771,0.0223,31.72
JVASP-1318,CaTe,225,-1.77034,1.5590000000000002,0.013,21.63
JVASP-74304,SrBeBr2,225,-0.8038400000000001,0.912,0.8795000000000001,33.88
JVASP-19817,SmN,225,-1.6991200000000002,0.0,0.0,28.0
JVASP-105691,K2RbPrF6,225,-3.27478,5.26,0.1955,0.0
JVASP-3693,Mg2FeH6,225,-0.32325,1.935,0.0,30.57
JVASP-42876,AcH3,225,-0.6297900000000001,0.925,0.0,28.87
JVASP-23440,Sr2AsAu,225,-1.10025,0.559,0.0,27.13
JVASP-74583,NaBeCl2,225,-0.52832,0.0,0.9996,15.46
JVASP-2005,NaH,225,-0.30057,4.845,0.0,0.0
JVASP-105634,K2IrAuF6,225,-1.81084,0.5670000000000001,0.2906,31.32
JVASP-1330,Be2C,225,-0.34245,1.492,0.0573,27.76
JVASP-74763,KBeBr2,225,-0.42759,0.0,0.9082,31.46
JVASP-1279,LuN,225,-2.11365,0.351,0.0,33.65
JVASP-105642,K2ScAuF6,225,-2.8675,1.457,0.1785,0.93
JVASP-74330,BeGaBr2,225,0.16627,0.0,0.9679,25.46
JVASP-22732,CsK2Bi,225,-0.49205,0.62,0.0,33.71
JVASP-74967,NaBeBr2,225,-0.31477,0.0,0.9387,28.9
JVASP-105655,Rb2CuAsF6,225,-2.30025,1.142,0.0201,33.82
JVASP-1798,KNa2Sb,225,-0.52427,0.92,0.0,24.45
JVASP-14665,SmTe,225,-1.41693,0.0,0.0,24.71
JVASP-105658,Rb2ScAgCl6,225,-1.85967,3.067,0.0,9.96
JVASP-14666,PrN,225,-1.49567,0.0,0.0,22.65
JVASP-107999,Yb2AgSb,225,-0.81871,0.0,0.0,5.84
JVASP-2011,KH,225,-0.32572,3.537,0.0,0.0
JVASP-1738,Rb2Se,225,-1.16566,1.842,0.0,0.29
JVASP-74979,K2BeTe,225,-0.12891,1.152,0.7021000000000001,30.73
JVASP-15086,ScN,225,-2.15468,0.02,0.0,25.1
JVASP-1245,CdF2,225,-2.30934,3.063,0.0,0.0
JVASP-1288,Li2S,225,-1.4862,3.502,0.0356,0.0
JVASP-74799,K2BeSe,225,-0.16854,1.195,0.7492000000000001,31.53
JVASP-18413,TbH2,225,-0.73745,0.0,0.0,8.86
JVASP-3732,Sr2H6Ru,225,-0.63704,2.179,0.0,14.91
JVASP-105939,Tl2VF6,225,-2.5491900000000003,0.0,0.0,18.19
JVASP-56540,Rb2NbCl6,225,-1.72415,0.0,0.0,2.27
JVASP-99471,Li2TlSb,225,-0.45137,0.628,0.0463,16.72
JVASP-14975,NdN,225,-1.56832,0.0,0.0,24.48
JVASP-18415,TmH2,225,-0.74184,0.0,0.0,6.11
JVASP-105680,Rb2NaPrF6,225,-3.41529,6.595,0.0572,0.0
JVASP-105681,Rb2AlInI6,225,-0.95346,1.085,0.0655,33.83
JVASP-99475,Rb2AgAsF6,225,-2.30169,2.376,0.0147,0.39
JVASP-99567,K2CuMoI6,225,-0.6032500000000001,0.188,0.0601,21.27
JVASP-1993,KBr,225,-1.87002,4.602,0.0,0.0
JVASP-99527,Na3AuF6,225,-2.01637,0.6000000000000001,0.2555,24.45
JVASP-99528,Na2GaHgF6,225,-2.23886,0.0,0.247,33.25
JVASP-1300,MgS,225,-1.62337,2.9450000000000003,0.0215,0.0
JVASP-99382,KRb2InI6,225,-1.06961,1.272,0.0675,19.88
JVASP-99009,EuS,225,-2.18183,0.0,0.0,31.46
JVASP-1921,RbBr,225,-1.86597,4.436,0.0,0.0
JVASP-55000,Rb2NbCl6,225,-1.72417,0.0,0.0,2.27
JVASP-105595,K2ScInCl6,225,-1.83666,2.252,0.0623,32.7
JVASP-2014,RbH,225,-0.28885,2.971,0.0,0.0
JVASP-14943,PrTe,225,-1.47741,0.0,0.0,25.4
JVASP-99721,Na2TlGaF6,225,-2.4589,3.525,0.2308,0.0
JVASP-3951,Rb2PdBr6,225,-1.05862,0.515,0.0,33.97
JVASP-100264,ZrSbRu2,225,-0.36922,0.0,0.0491,5.84
JVASP-102856,K2LiTiF6,225,-3.29093,0.0,0.0,0.0
JVASP-102088,Rb2TlIrF6,225,-2.17703,2.215,0.061,16.54
JVASP-102858,K2LiErCl6,225,-2.18728,5.19,0.0,3.71
JVASP-102090,Rb3GaI6,225,-1.00875,0.97,0.1326,24.72
JVASP-103371,TbBa2TaO6,225,-3.42355,3.447,0.0,0.0
JVASP-102861,Na2GaAgF6,225,-2.36485,1.464,0.1061,0.0
JVASP-100931,Rb2ScInI6,225,-1.22064,1.726,0.0,28.82
JVASP-102864,K2LiInF6,225,-2.93778,5.595,0.0,3.89
JVASP-100473,K2CuBiBr6,225,-1.05834,0.724,0.0503,31.9
JVASP-107802,K3AsI6,225,-0.9129,2.006,0.1148,9.85
JVASP-100068,Sr2AsAu,225,-1.10016,0.5710000000000001,0.0001,27.44
JVASP-107803,K2TlAsI6,225,-0.7562,0.738,0.0895,26.46
JVASP-103208,Rb2NaGaCl6,225,-1.70208,2.772,0.0249,0.0
JVASP-102866,Na3AlCl6,225,-1.67575,4.154,0.1265,0.0
JVASP-102947,KRbAu2,225,-0.40356,0.217,0.0,5.96
JVASP-102867,TbK2CuCl6,225,-1.83757,2.592,0.0467,12.98
JVASP-107809,K2RbAlI6,225,-1.09398,1.926,0.129,7.62
JVASP-107810,K2NaNdF6,225,-3.40997,6.139,0.0831,0.0
JVASP-99590,Na2LiAsF6,225,-2.5777,4.508,0.1136,0.0
JVASP-1942,KI,225,-1.58223,4.092,0.0,0.0
JVASP-99591,K2RbBiF6,225,-2.67776,4.334,0.1066,0.0
JVASP-99741,Rb2Pd,225,-0.00012,0.977,0.0201,31.71
JVASP-1945,RbI,225,-1.5921,3.969,0.0,0.0
JVASP-102873,K2AlInBr6,225,-1.28494,1.911,0.1378,21.19
JVASP-107850,Rb2ScAgF6,225,-3.12145,3.17,0.0,0.0
JVASP-99593,K2YAuF6,225,-2.85747,1.256,0.2609,2.14
JVASP-101479,KNa2AlF6,225,-3.17585,5.338,0.1943,0.0
JVASP-102159,Ba2SmTaO6,225,-3.36753,3.415,0.0,0.0
JVASP-3957,Rb2PtI6,225,-0.8309400000000001,0.424,0.0,33.31
JVASP-101480,Li3GaF6,225,-2.8359300000000003,5.931,0.1642,0.0
JVASP-99595,K2RbBiI6,225,-0.97212,2.778,0.1685,2.14
JVASP-3960,Rb2PdCl6,225,-1.27055,1.091,0.0,28.55
JVASP-101049,Sr2PrNbO6,225,-3.08749,2.94,0.1256,0.36
JVASP-101481,K3GaF6,225,-2.96382,5.998,0.0,0.0
JVASP-100188,Li2CeGa,225,-0.15406,0.0,0.1172,5.84
JVASP-1951,NaBr,225,-1.68273,4.404,0.0225,0.0
JVASP-100673,K2LiSbI6,225,-0.9459,1.772,0.0924,21.93
JVASP-102876,Rb2AlHgF6,225,-2.86639,0.0,0.0743,0.0
JVASP-101482,K3PdF6,225,-2.35337,0.0,0.0614,9.03
JVASP-100290,LiCa2Ge,225,-0.46046,0.0,0.0775,13.77
JVASP-14574,ErSe,225,-1.75609,0.0,0.0,33.88
JVASP-99457,KNa2RhF6,225,-2.29217,2.242,0.2007,8.05
JVASP-100675,K2PrAgF6,225,-2.93737,2.23,0.1781,0.0
JVASP-102888,Rb2AlAuCl6,225,-1.46678,0.534,0.0729,25.71
JVASP-101487,K2LiAsF6,225,-2.75292,4.707,0.0,0.0
JVASP-1954,AgCl,225,-0.47159,0.925,0.0,6.09
JVASP-99459,K2InAsI6,225,-0.74106,0.0,0.1017,5.84
JVASP-99686,K2RbAlF6,225,-3.30866,6.38,0.0734,0.0
JVASP-107868,Rb3SbI6,225,-1.00905,2.366,0.0849,8.16
JVASP-99413,Na2TlAgF6,225,-1.93856,0.0,0.1911,33.44
JVASP-106208,K2HgRhF6,225,-2.01463,0.0,0.125,9.9
JVASP-99414,K2PrAgI6,225,-1.15228,2.643,0.074,1.9
JVASP-100879,K2LiAuF6,225,-2.286,0.404,0.0667,30.02
JVASP-99689,Na3IrF6,225,-2.26496,2.169,0.0577,10.16
JVASP-100880,K2YInF6,225,-3.17542,3.203,0.1293,0.0
JVASP-100696,Rb3SbF6,225,-2.70852,3.979,0.0,0.0
JVASP-106224,K2TiCuF6,225,-2.82153,0.0,0.2678,16.22
JVASP-101500,K2AlAuF6,225,-2.77994,1.221,0.1432,3.3
JVASP-100884,Li3ScF6,225,-3.31527,6.108,0.2462,0.0
JVASP-99694,K2NaIrF6,225,-2.45478,2.365,0.0014,13.54
JVASP-101709,KNaMg2F6,225,-3.48369,6.5440000000000005,0.013,0.0
JVASP-100119,Rb3GaF6,225,-2.94305,6.167,0.0,0.0
JVASP-20108,TbTe,225,-1.34363,0.0,0.0,28.67
JVASP-102054,Rb3GaBr6,225,-1.3774,2.277,0.0596,0.48
JVASP-102369,K3BiI6,225,-1.00869,2.566,0.13,2.62
JVASP-100571,KNa2ScF6,225,-3.23565,5.296,0.2392,0.0
JVASP-14897,AgF,225,-1.04198,0.0,0.0,21.04
JVASP-100572,Rb2IrAuF6,225,-1.85307,0.657,0.2563,31.17
JVASP-102371,K2LiRhF6,225,-2.62176,1.9,0.0,14.12
JVASP-102060,K3ScCl6,225,-2.10227,3.999,0.0309,0.0
JVASP-18926,LuS,225,-2.02091,0.0,0.0,29.26
JVASP-100573,K2RbScCl6,225,-2.06753,4.045,0.0859,0.0
JVASP-102062,K2TlAsF6,225,-2.36761,2.762,0.0835,0.86
JVASP-101517,Rb2YAgF6,225,-3.12147,2.742,0.0,0.0
JVASP-1306,BaO,225,-2.74583,2.048,0.0285,1.65
JVASP-100574,K2TlGaCl6,225,-1.42368,2.164,0.1296,3.13
JVASP-2769,SnF3,225,-2.46216,2.94,0.0189,0.31
JVASP-102377,K2NdCuI6,225,-1.13987,1.876,0.0704,23.96
JVASP-100894,K2RbAsI6,225,-0.89519,2.146,0.1345,8.16
JVASP-102064,K2NaBiF6,225,-2.77738,4.99,0.017,0.0
JVASP-102301,Tl3GaF6,225,-2.25716,3.296,0.0,0.0
JVASP-102381,K2InAsF6,225,-2.3756,1.899,0.1715,18.19
JVASP-104500,Li3RhF6,225,-2.36855,2.031,0.2086,11.21
JVASP-103335,Yb2H6Ru,225,-0.7138,2.682,0.0,7.23
JVASP-100519,NaScTl2F6,225,-3.05106,4.914,0.0,0.0
JVASP-102383,K2InHgF6,225,-2.359,0.0,0.1108,28.26
JVASP-100579,K2ScInF6,225,-3.16425,3.511,0.0708,2.65
JVASP-102446,ZrSiRu2,225,-0.6904100000000001,0.184,0.0,5.84
JVASP-101521,Rb2NaTlI6,225,-0.95514,0.0,0.1071,13.63
JVASP-104615,Sr2HgGe,225,-0.63682,0.057,0.0,5.84
JVASP-103559,Na2AgRhF6,225,-1.94191,1.395,0.104,19.73
JVASP-22686,Na2H6Pt,225,-0.36116,3.545,0.0,0.0
JVASP-100585,Na2YCuCl6,225,-1.63797,1.626,0.1775,9.96
JVASP-104505,K2LiNdF6,225,-3.46169,6.536,0.0762,0.0
JVASP-103349,K3HoCl6,225,-2.144,4.708,0.0045,0.0
JVASP-101384,Rb3TmCl6,225,-2.17535,4.7780000000000005,0.0153,0.0
JVASP-1366,Li3Sb,225,-0.68249,0.919,0.0077,33.58
JVASP-102403,Rb2ScAuF6,225,-2.92458,1.581,0.1215,2.06
JVASP-102254,K3TlF6,225,-2.53293,3.711,0.0,0.0
JVASP-100904,K2ScAgF6,225,-3.08332,2.886,0.0004,0.0
JVASP-102082,Na2LiTiF6,225,-3.15278,0.0,0.0679,0.0
JVASP-103351,Ba2ErUO6,225,-3.52954,0.964,0.0,0.46
JVASP-100590,KRb2AsF6,225,-2.6768,4.741,0.0,0.0
JVASP-103159,Na2AgAsF6,225,-2.05335,1.916,0.2357,0.55
JVASP-102083,Na2LiInF6,225,-2.7770900000000003,5.131,0.0984,0.24
JVASP-100725,Li2InBi,225,-0.39086,0.022,0.0,5.84
JVASP-102408,Rb2PrAgI6,225,-1.22992,2.62,0.0,2.22
JVASP-103574,Rb3YF6,225,-3.46698,5.859,0.0021,0.0
JVASP-100928,Rb2ScInF6,225,-3.22313,3.732,0.0208,0.63
JVASP-103167,K2RbRhF6,225,-2.45621,2.231,0.07,21.3
JVASP-102267,Rb2TlRhF6,225,-2.3041,1.912,0.0,16.27
JVASP-102605,NaSr2IO6,225,-1.97219,2.414,0.0,0.01
JVASP-102412,KRb2AlF6,225,-3.40432,6.756,0.0,0.0
JVASP-103174,K2DyAuCl6,225,-1.69784,2.018,0.1223,2.86
JVASP-22720,Ba2SbAu,225,-1.05052,0.7000000000000001,0.0,29.44
JVASP-103192,Na3TlI6,225,-0.6583500000000001,0.0,0.3037,26.53
JVASP-106303,LiTaF6,225,-3.35668,6.115,0.0129,21.34
JVASP-14991,YSe,225,-1.86769,0.0,0.0,33.52
JVASP-102413,KRb2IrF6,225,-2.4596,2.482,0.0,2.37
JVASP-106452,Rb2AgBiF6,225,-2.41235,2.471,0.0,0.16
JVASP-102415,Rb2NaMoI6,225,-0.94704,1.084,0.0,30.86
JVASP-105010,K3AsF6,225,-2.64747,4.422,0.0198,0.0
JVASP-104535,Rb3PdF6,225,-2.3588,0.0,0.0401,5.84
JVASP-106454,Rb2InAgF6,225,-2.51174,1.629,0.0,0.8200000000000001
JVASP-102416,Rb2NaNdI6,225,-1.47086,3.054,0.0,0.5
JVASP-106456,Rb2LiPrF6,225,-3.46962,6.758,0.0421,0.0
JVASP-105013,Na2ScAgF6,225,-2.87427,1.87,0.1778,0.0
JVASP-106664,Sr2MgMoO6,225,-2.94144,2.036,0.0,8.9
JVASP-104539,Rb2TlSbI6,225,-0.8628100000000001,0.742,0.0471,29.23
JVASP-106459,K2RbYI6,225,-1.41764,3.02,0.1228,0.05
JVASP-102421,K2RbPrI6,225,-1.39498,3.007,0.1054,0.03
JVASP-104541,Rb2LiAlF6,225,-3.41887,7.671,0.0,0.0
JVASP-14686,CeSb,225,-1.07393,0.0,0.0,5.84
JVASP-1369,YN,225,-1.96958,0.314,0.0,33.79
JVASP-107111,K2RbIrF6,225,-2.3642,2.279,0.0937,2.06
JVASP-105026,K2AlHgF6,225,-2.84973,0.0,0.1238,29.52
JVASP-102424,Rb2LiPrI6,225,-1.47638,2.898,0.0,1.33
JVASP-107112,K2AlInI6,225,-0.91501,0.736,0.1,30.97
JVASP-14729,Ca,225,0.0,0.0,0.0,5.84
JVASP-106669,K2CoF6,225,-2.45753,0.0,0.0,33.39
JVASP-106465,Rb2LiTiF6,225,-3.29557,0.0,0.0,18.16
JVASP-102426,Rb3ScF6,225,-3.4663,6.256,0.0263,0.0
JVASP-102427,Rb2LiTaF6,225,-2.92488,0.0,0.1887,28.9
JVASP-107117,K2InAgF6,225,-2.46946,1.446,0.0,0.63
JVASP-16004,AlO,225,-1.41631,0.0,1.3448,30.24
JVASP-22688,Mg2H6Ru,225,-0.34381,3.128,0.0,3.13
JVASP-14731,HoSe,225,-1.78523,0.0,0.0,33.88
JVASP-107119,K2AgAsF6,225,-2.27749,2.263,0.0534,0.41
JVASP-106899,K2NaPrF6,225,-3.3907,6.064,0.1046,0.0
JVASP-106736,Sr2NbGaO6,225,-2.9020900000000003,3.171,0.0,0.16
JVASP-106902,K2LiPrI6,225,-1.41884,2.894,0.0299,1.29
JVASP-107627,K2RbNdF6,225,-3.31004,5.1370000000000005,0.2006,0.0
JVASP-104800,K3InI6,225,-1.03048,1.187,0.1026,19.73
JVASP-104690,TaFePb2O6,225,-1.91828,0.0,0.0072,33.93
JVASP-107628,K2RbMoI6,225,-0.8914900000000001,1.246,0.0773,21.34
JVASP-1603,K2Se,225,-1.20708,2.171,0.0166,0.0
JVASP-107133,Rb2PrAgF6,225,-3.00666,2.42,0.0912,0.0
JVASP-107134,Rb2InAuF6,225,-2.3151,0.289,0.0512,19.88
JVASP-2484,NaSbF6,225,-2.56764,4.918,0.0,0.0
JVASP-105083,RbInF3,225,-2.62426,2.32,0.0,3.16
JVASP-104589,LiAcRh2,225,-0.40999,0.158,0.0,5.84
JVASP-106909,K2GaHgF6,225,-2.45761,0.0,0.1035,33.31
JVASP-1264,K2O,225,-1.2572,2.034,0.0003,0.0
JVASP-22689,Ba2H6Ru,225,-0.5815300000000001,1.854,0.0,19.73
JVASP-106404,Rb2LiNbF6,225,-2.9873000000000003,0.0,0.0407,33.83
JVASP-107136,Na2HgPdF6,225,-1.76201,0.0,0.2401,32.78
JVASP-107633,Rb2TlAsF6,225,-2.4329,2.682,0.0,1.48
JVASP-106910,K2HgBiF6,225,-2.24725,0.0,0.1829,28.53
JVASP-104805,K2NaAuF6,225,-2.2319,0.5650000000000001,0.0702,26.4
JVASP-106920,Na3YI6,225,-1.21091,2.29,0.1985,0.62
JVASP-107138,Rb2NaIrF6,225,-2.49109,2.234,0.0,3.18
JVASP-105292,K2SnF6,225,-2.84205,5.325,0.0,0.0
JVASP-1169,ThO2,225,-4.1762,4.823,0.0,0.0
JVASP-1171,Na2S,225,-1.21153,2.59,0.0111,0.0
JVASP-107142,Rb2LiBiI6,225,-1.06471,1.912,0.0282,12.98
JVASP-104819,Rb2AlAgF6,225,-3.00504,3.187,0.0,0.0
JVASP-106413,K3GaI6,225,-0.98886,0.729,0.1466,28.44
JVASP-106924,Rb2NaAuF6,225,-2.26216,0.5720000000000001,0.0219,27.26
JVASP-106414,Li3TlF6,225,-2.34517,3.39,0.3154,0.0
JVASP-107144,Rb2TlAsI6,225,-0.8149000000000001,0.762,0.0348,27.05
JVASP-107301,NbInPb2O6,225,-1.88781,2.673,0.03,0.41
JVASP-106925,Rb2LiNdF6,225,-3.48673,6.832,0.0654,0.0
JVASP-104823,Rb2LiAsF6,225,-2.75102,4.677,0.0,0.0
JVASP-107414,Rb2ScAgI6,225,-1.18315,2.037,0.0,11.89
JVASP-15071,TmSe,225,-1.72396,0.0,0.0,33.32
JVASP-22690,Ba2H6Os,225,-0.57054,1.938,0.0,13.17
JVASP-1251,YbSe,225,-2.21187,2.052,0.0,1.31
JVASP-102634,K2TaNbO6,225,-2.80636,1.747,0.0,10.89
JVASP-106441,Rb2SbAuF6,225,-2.20559,0.797,0.2138,19.33
JVASP-104608,RbNa2Bi,225,-0.46407,0.007,0.0,27.64
JVASP-1256,PbF2,225,-2.5073,4.582,0.003,0.0
JVASP-106645,Rb2SnF6,225,-2.86781,5.391,0.0,0.0
JVASP-102356,Li3IrF6,225,-2.25237,2.37,0.2283,2.32
JVASP-1582,Rb2S,225,-1.1685,1.978,0.0206,0.0
JVASP-104888,Sr2UInO6,225,-2.94706,1.128,0.0743,28.84
JVASP-107660,K2RbBi,225,-0.48756,0.337,0.0,33.82
JVASP-2400,Tl2SiF6,225,-2.73565,5.04,0.0,0.0
JVASP-107099,Rb2HgIrF6,225,-1.9661,0.0,0.1432,23.63
JVASP-7676,GeSe,225,-0.251,0.167,0.0091,5.84
JVASP-107101,K2NaYI6,225,-1.43067,3.076,0.0648,0.63
JVASP-1267,BaTe,225,-1.88324,1.605,0.0243,19.81
JVASP-7633,SiO2,225,-1.6947100000000002,2.21,1.2066,2.77
JVASP-7678,MgSe,225,-1.3488,2.117,0.0107,1.9
JVASP-254,PbS,225,-0.6395200000000001,0.5640000000000001,0.0164,33.38
JVASP-107106,K2NaNdI6,225,-1.41177,3.051,0.0414,0.45
JVASP-107598,K2NaInI6,225,-1.01757,0.561,0.0725,31.02
JVASP-7991,ZnO,225,-1.46475,1.078,0.1272,11.63
JVASP-107606,K2ScAgI6,225,-1.12736,2.042,0.0221,11.7
JVASP-1591,HgF2,225,-1.39914,0.862,0.0,1.56
JVASP-107608,K2AgSbF6,225,-2.34368,2.066,0.123,0.74
JVASP-1270,K2S,225,-1.22235,2.384,0.0,0.0
JVASP-107624,Rb2ScAuI6,225,-1.08843,1.034,0.0352,32.04
JVASP-7639,K3Sb,225,-0.49995,0.993,0.0035,22.8
JVASP-8581,Li3Bi,225,-0.57877,0.5720000000000001,0.0,29.47
JVASP-8583,AgBr,225,-0.34729,0.792,0.0168,12.28
JVASP-8803,AgPF6,225,-2.19843,3.047,0.0,0.0
JVASP-8180,HoN,225,-1.97059,0.192,0.0,33.83
JVASP-8181,Na3As,225,-0.45104,0.32,0.0407,32.33
JVASP-8589,BiF3,225,-2.37957,4.245,0.2115,0.0
JVASP-29368,Ba2DyBiO6,225,-2.6414,1.821,0.0,12.18
JVASP-7809,ZrO2,225,-3.64657,3.452,0.0572,0.0
JVASP-8592,Rb2TeBr6,225,-1.10774,1.925,0.0019,14.74
JVASP-7777,LaF3,225,-4.25782,6.143,0.1652,0.0
JVASP-7855,SnS,225,-0.52092,0.443,0.0387,15.05
JVASP-8594,K2SnCl6,225,-1.52161,2.167,0.0077,0.55
JVASP-7986,TbN,225,-1.88267,0.083,0.0,31.97
JVASP-8595,K2TeBr6,225,-1.05588,1.894,0.0262,15.18
JVASP-7780,AlN,225,-1.46344,4.893,0.186,0.0
JVASP-51764,NaInH8N2F6,225,-1.51235,5.349,0.0,0.0
JVASP-8765,Rb3Sb,225,-0.46058,0.707,0.0,33.71
JVASP-51765,H8PdN2Cl6,225,-0.55761,1.086,0.0058,27.14
JVASP-7860,SnTe,225,-0.31501,0.185,0.0108,5.84
JVASP-10997,Ba2DyNbO6,225,-3.31013,2.923,0.0,0.67
JVASP-10998,Ba2HoNbO6,225,-3.32192,2.9210000000000003,0.0,0.67
JVASP-10999,Ba2TmNbO6,225,-3.34693,2.914,0.0,0.72
JVASP-7789,Rb2O,225,-1.15218,1.607,0.0246,0.0
JVASP-7659,NaLi2N,225,-0.10557,2.797,0.3107,1.36
JVASP-7794,DyN,225,-1.92857,0.117,0.0,33.77
JVASP-8659,Rb2SnI6,225,-0.90222,0.0,0.0207,14.68
JVASP-7988,TlF,225,-1.80431,2.244,0.0412,3.03
JVASP-12566,SnH8N2Cl6,225,-0.7144400000000001,2.091,0.0,1.36
